date,ticker,adj_close
2020-01-02,AGG,109.783
2020-01-02,GLD,143.95
2020-01-02,SPY,300.272
2020-01-03,AGG,110.111
2020-01-03,GLD,145.86
2020-01-03,SPY,297.994
2020-01-06,AGG,110.022
2020-01-06,GLD,147.39
2020-01-06,SPY,299.123
2020-01-07,AGG,109.903
2020-01-07,GLD,147.97
2020-01-07,SPY,298.29
2020-01-08,AGG,109.773
2020-01-08,GLD,146.86
2020-01-08,SPY,299.871
2020-01-09,AGG,109.893
2020-01-09,GLD,146.03
2020-01-09,SPY,301.899
2020-01-10,AGG,110.082
2020-01-10,GLD,146.91
2020-01-10,SPY,301.039
2020-01-13,AGG,110.012
2020-01-13,GLD,145.82
2020-01-13,SPY,303.113
2020-01-14,AGG,110.111
2020-01-14,GLD,145.69
2020-01-14,SPY,302.645
2020-01-15,AGG,110.281
2020-01-15,GLD,146.54
2020-01-15,SPY,303.344
2020-01-16,AGG,110.281
2020-01-16,GLD,146.31
2020-01-16,SPY,305.852
2020-01-17,AGG,110.151
2020-01-17,GLD,146.58
2020-01-17,SPY,306.8
2020-01-21,AGG,110.47
2020-01-21,GLD,146.74
2020-01-21,SPY,306.207
2020-01-22,AGG,110.53
2020-01-22,GLD,146.79
2020-01-22,SPY,306.243
2020-01-23,AGG,110.649
2020-01-23,GLD,147.12
2020-01-23,SPY,306.609
2020-01-24,AGG,110.828
2020-01-24,GLD,147.98
2020-01-24,SPY,303.851
2020-01-27,AGG,111.177
2020-01-27,GLD,148.99
2020-01-27,SPY,298.988
2020-01-28,AGG,111.078
2020-01-28,GLD,147.66
2020-01-28,SPY,302.119
2020-01-29,AGG,111.326
2020-01-29,GLD,148.46
2020-01-29,SPY,301.87
2020-01-30,AGG,111.336
2020-01-30,GLD,148.47
2020-01-30,SPY,302.865
2020-01-31,AGG,111.675
2020-01-31,GLD,149.33
2020-01-31,SPY,297.351
2020-02-03,AGG,111.884
2020-02-03,GLD,148.36
2020-02-03,SPY,299.553
2020-02-04,AGG,111.506
2020-02-04,GLD,146.43
2020-02-04,SPY,304.128
2020-02-05,AGG,111.336
2020-02-05,GLD,146.61
2020-02-05,SPY,307.653
2020-02-06,AGG,111.406
2020-02-06,GLD,147.4
2020-02-06,SPY,308.685
2020-02-07,AGG,111.734
2020-02-07,GLD,147.79
2020-02-07,SPY,307.03
2020-02-10,AGG,111.864
2020-02-10,GLD,148.17
2020-02-10,SPY,309.347
2020-02-11,AGG,111.724
2020-02-11,GLD,147.66
2020-02-11,SPY,309.863
2020-02-12,AGG,111.606
2020-02-12,GLD,147.54
2020-02-12,SPY,311.872
2020-02-13,AGG,111.684
2020-02-13,GLD,148.38
2020-02-13,SPY,311.537
2020-02-14,AGG,111.804
2020-02-14,GLD,149.0
2020-02-14,SPY,312.045
2020-02-18,AGG,111.954
2020-02-18,GLD,150.91
2020-02-18,SPY,311.231
2020-02-19,AGG,111.924
2020-02-19,GLD,151.79
2020-02-19,SPY,312.697
2020-02-20,AGG,112.173
2020-02-20,GLD,152.41
2020-02-20,SPY,311.432
2020-02-21,AGG,112.402
2020-02-21,GLD,154.7
2020-02-21,SPY,308.206
2020-02-24,AGG,112.77
2020-02-24,GLD,156.09
2020-02-24,SPY,298.003
2020-02-25,AGG,112.97
2020-02-25,GLD,153.3
2020-02-25,SPY,288.969
2020-02-26,AGG,112.85
2020-02-26,GLD,153.97
2020-02-26,SPY,287.906
2020-02-27,AGG,112.87
2020-02-27,GLD,154.0
2020-02-27,SPY,274.985
2020-02-28,AGG,113.697
2020-02-28,GLD,148.38
2020-02-28,SPY,273.828
2020-03-02,AGG,113.437
2020-03-02,GLD,149.2
2020-03-02,SPY,285.687
2020-03-03,AGG,114.205
2020-03-03,GLD,153.89
2020-03-03,SPY,277.494
2020-03-04,AGG,114.115
2020-03-04,GLD,154.16
2020-03-04,SPY,289.159
2020-03-05,AGG,114.473
2020-03-05,GLD,157.49
2020-03-05,SPY,279.56
2020-03-06,AGG,115.319
2020-03-06,GLD,157.55
2020-03-06,SPY,274.939
2020-03-09,AGG,115.17
2020-03-09,GLD,157.81
2020-03-09,SPY,253.442
2020-03-10,AGG,113.855
2020-03-10,GLD,154.48
2020-03-10,SPY,266.562
2020-03-11,AGG,112.222
2020-03-11,GLD,153.93
2020-03-11,SPY,253.565
2020-03-12,AGG,107.752
2020-03-12,GLD,147.79
2020-03-12,SPY,229.321
2020-03-13,AGG,109.445
2020-03-13,GLD,143.28
2020-03-13,SPY,248.923
2020-03-16,AGG,111.247
2020-03-16,GLD,141.64
2020-03-16,SPY,221.675
2020-03-17,AGG,108.399
2020-03-17,GLD,143.56
2020-03-17,SPY,233.657
2020-03-18,AGG,104.267
2020-03-18,GLD,140.7
2020-03-18,SPY,221.817
2020-03-19,AGG,106.586
2020-03-19,GLD,138.04
2020-03-19,SPY,222.297
2020-03-20,AGG,107.662
2020-03-20,GLD,140.11
2020-03-20,SPY,212.706
2020-03-23,AGG,110.221
2020-03-23,GLD,146.3
2020-03-23,SPY,207.27
2020-03-24,AGG,111.088
2020-03-24,GLD,153.4
2020-03-24,SPY,226.049
2020-03-25,AGG,112.232
2020-03-25,GLD,151.3
2020-03-25,SPY,229.446
2020-03-26,AGG,112.581
2020-03-26,GLD,153.24
2020-03-26,SPY,242.837
2020-03-27,AGG,113.069
2020-03-27,GLD,152.25
2020-03-27,SPY,235.601
2020-03-30,AGG,113.179
2020-03-30,GLD,152.92
2020-03-30,SPY,243.268
2020-03-31,AGG,112.87
2020-03-31,GLD,148.05
2020-03-31,SPY,239.64
2020-04-01,AGG,112.482
2020-04-01,GLD,149.45
2020-04-01,SPY,228.856
2020-04-02,AGG,112.651
2020-04-02,GLD,151.9
2020-04-02,SPY,234.128
2020-04-03,AGG,112.73
2020-04-03,GLD,152.65
2020-04-03,SPY,230.748
2020-04-06,AGG,113.288
2020-04-06,GLD,156.88
2020-04-06,SPY,246.252
2020-04-07,AGG,113.447
2020-04-07,GLD,156.04
2020-04-07,SPY,246.491
2020-04-08,AGG,113.537
2020-04-08,GLD,154.65
2020-04-08,SPY,254.781
2020-04-09,AGG,114.971
2020-04-09,GLD,158.69
2020-04-09,SPY,258.638
2020-04-13,AGG,114.423
2020-04-13,GLD,161.41
2020-04-13,SPY,256.283
2020-04-14,AGG,114.483
2020-04-14,GLD,162.68
2020-04-14,SPY,263.836
2020-04-15,AGG,114.961
2020-04-15,GLD,161.85
2020-04-15,SPY,258.244
2020-04-16,AGG,115.111
2020-04-16,GLD,161.71
2020-04-16,SPY,259.48
2020-04-17,AGG,114.971
2020-04-17,GLD,158.57
2020-04-17,SPY,266.478
2020-04-20,AGG,114.801
2020-04-20,GLD,159.7
2020-04-20,SPY,261.785
2020-04-21,AGG,114.861
2020-04-21,GLD,158.61
2020-04-21,SPY,253.844
2020-04-22,AGG,114.861
2020-04-22,GLD,161.73
2020-04-22,SPY,259.48
2020-04-23,AGG,115.14
2020-04-23,GLD,163.34
2020-04-23,SPY,259.461
2020-04-24,AGG,115.081
2020-04-24,GLD,162.64
2020-04-24,SPY,263.086
2020-04-27,AGG,114.543
2020-04-27,GLD,161.56
2020-04-27,SPY,266.867
2020-04-28,AGG,115.001
2020-04-28,GLD,160.84
2020-04-28,SPY,265.644
2020-04-29,AGG,115.081
2020-04-29,GLD,161.73
2020-04-29,SPY,272.602
2020-04-30,AGG,114.821
2020-04-30,GLD,158.8
2020-04-30,SPY,270.067
2020-05-01,AGG,114.593
2020-05-01,GLD,159.78
2020-05-01,SPY,262.917
2020-05-04,AGG,114.692
2020-05-04,GLD,160.34
2020-05-04,SPY,263.631
2020-05-05,AGG,114.603
2020-05-05,GLD,161.02
2020-05-05,SPY,266.076
2020-05-06,AGG,114.135
2020-05-06,GLD,158.95
2020-05-06,SPY,264.265
2020-05-07,AGG,114.493
2020-05-07,GLD,161.39
2020-05-07,SPY,267.463
2020-05-08,AGG,114.185
2020-05-08,GLD,160.42
2020-05-08,SPY,271.875
2020-05-11,AGG,113.835
2020-05-11,GLD,159.42
